Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal,Terlaris,Bulan
Elektronik,LENODI,Kab. Tangerang,Oranye LCD Smart Crane Timbangan Gantung Digital Elektronik 300 KG  LCD Electronic Hanging Scale,219000,10,5.0,2025-07-06,0,2025-07
Elektronik,MAYA TRASPIANI,Tangerang,"Bayar Tagihan Listrik 0 Rupiah! Pakai Lampu Tenaga Surya 45W ini. Super terang dengan 103 LED, otomatis nyala, IP67 tahan hujan badai.",83000,0,0.0,2025-05-09,0,2025-05
Elektronik,ADVAN INDONESIA,Kab. Tangerang,ADVAN X1 Mediatek Helio G100 8GB+8GB/128GB High Refresh Rate 120Hz IPS FHD+ Sony 64MP Big Battery 5000mAh AI Camera UFS 2.2 NFC Fingerprint Android 14 Gaming Smartphone Handphone Fast Charging,1699000,250,4.9,2025-07-14,0,2025-07
Elektronik,ARIL MULYANA253,Surabaya,[ 2025 Baru baru ] Sansug Galaxy S25 Ultra Handphone 7.5Inci 16GB+1TB 58MP+108MP HD Kamera Face ID cuci gudang Android14.0 Dual SIM Dual 4g/5g WiFi 8000mAh Bisa COD,1207588,1,0.0,2025-06-16,0,2025-06
Elektronik,HANRIVER,Tangerang,HAN RIVER Rice Cooker 2.2L Magic Com 6 Mode Masak/Anti Lengket Smart Touch Penanak Nasi Multifungsi,319000,250,5.0,2025-06-08,0,2025-06
Elektronik,ZET PREMIUM,Kab.Ciamis,Handphone Jadul Mini Dual SIM Bisa Bahasa Indonesia Bluetooth Camera Ultra Kecil dengan Voice Changer dan Speaker Berkualitas,227905,0,0.0,2025-04-25,0,2025-04
Elektronik,CHINDO DIGITAL,Jakarta Barat,[COD] K12 Bluetooth Mini Speaker Karaoke Speaker Portable with MIC Bluetooth MP3 Player Bass Wireless Karaoke,49999,8000,4.4,2025-05-22,1,2025-05
Elektronik,ROBOT Audio Indonesia,Kab. Tangerang,[Exclusive King Kevin] ROBOT Karaoke Speaker RB700 Speaker Bluetooth Karaoke Outdoor RGB 10W Original - Bergaransi Resmi 1 Tahun,289000,100,4.7,2025-04-22,0,2025-04
Elektronik,NURUL119,Tangerang Selatan,Speaker Bluetooth Jam Alarm Digital Lampu LED RGB Lampu Sekitar Pengisi Daya Nirkabel Lampu Meja Pengisian Daya Multifungsi,68200,2000,4.1,2025-06-08,1,2025-06
Elektronik,Synmore Official Store,Kab. Tangerang,Synmore Timbangan Emas Digital Pocket Scale 0.01g/1000g Timbangan Perhiasan Digital Mini Elektronik,128000,24,5.0,2025-04-24,0,2025-04
Elektronik,FDSC6,Surabaya,G200 audio magnetic mobile phone stand desktop mini portable subwoofer colorful lights,106999,4,0.0,2025-05-06,0,2025-05
Elektronik,korneva shop,Jakarta Barat,COD Bracket Laptop dan Tablet Holder Mount Multifungsi Aluminium 2 Arm - OA-9X Computer Elektronik,1235130,0,0.0,2025-04-23,0,2025-04
Elektronik,EP Elektronik,Kab. Lamongan,Flybar & Bracket Line Array 2 INCH,5400,0,0.0,2025-05-03,0,2025-05
Elektronik,EP Elektronik,Kab. Lamongan,Bos Speaker Miniatur CLA 3 INCH Double || Siap Pakai Menggunakan Cat Kualitas Premium,53300,0,0.0,2025-06-13,0,2025-06
Elektronik,EP Elektronik,Kab. Lamongan,Box Speaker SUPALI 3 INCH || Ful Cat yang berkualitas premium,37350,0,0.0,2025-05-25,0,2025-05
Elektronik,Maxlife Idn,Kab. Tangerang,"[COD] Kamera 1080P HD - Zoom Digital 8x, Layar LCD 2.4 Inci, Mode Makro, Autofokus, Mikrofon Terintegrasi, Dukungan Kartu SD, Pengisian Daya via USB, Ringan & Praktis, Cocok untuk Pemula & Vlogging",329000,500,4.4,2025-04-21,0,2025-04
Elektronik,House Sparepart,Kab. Tangerang,Jakemy JM-8198 135 in 1 Multifunctional Repair Toolbox Set Obeng Listrik Rechargeable Portable,1007135,3,0.0,2025-06-01,0,2025-06
Elektronik,House Sparepart,Kab. Tangerang,Jakemy JM-8198 135 in 1 Multifunctional Repair Toolbox Set Obeng Listrik Rechargeable Portable,1007135,3,0.0,2025-05-16,0,2025-05
Elektronik,LENODI,Kab. Tangerang,Obeng Elektrik Set Komplit Obeng Listrik Presisi Set Silent Dan Tahan Lama Type-C Fast Charging,309000,16,5.0,2025-04-24,0,2025-04
Elektronik,future store,Tangerang,WEILAI TE-1802 ELECTRIC SCREWDRIVER - OBENG LISTRIK ORIGINAL - OBENG LISTRIK SET 20IN1 - OBENG TEKNISI / BONGKAR ELEKTRONIK,248640,8,4.5,2025-05-21,0,2025-05
Elektronik,HOKA ON CLOUD STORE,Jakarta Selatan,Sepatu On Cloudvista 2 Blue Running Trail Unisex Shoes Sneakers Pria Kasual Wanita Casual Olahraga Sport Lari  Outdoor,1059250,0,0.0,2025-06-09,0,2025-06
Elektronik,TOZO Indonesia,Jakarta Pusat,Cleaning Pen Pena Pembersih untuk TWS & Perangkat Elektronik universal multifungsi,17410,100,5.0,2025-06-27,0,2025-06
Elektronik,bilakeStore,Kab. Bogor,COD JieYou Ergonomic Laptop Stand Holder Aluminium 11-17 Inch - P49 Computer Elektronik,303840,0,0.0,2025-05-25,0,2025-05
Elektronik,Mega Makmur Elektronik,Jakarta Pusat,"( MEGA X DEVGADGET ) INFINIX SMART 9 HD ( 4GB/64GB ) GARANSI RESMI | UP TO 8GB EXTENDED RAM | 6.7"" INCH 90HZ PUNCH HOLE DISPLAY | 5000MAH BATERAI",1099000,0,0.0,2025-06-22,0,2025-06
Elektronik,future store,Tangerang,AIFEN A9E Solder Station C210 Original - Solder Teknisi Pemula Profesional - Solder Cepat Panas - Solder LED Display - Solder Las Elektronik - Solder Listrik Teknisi,889110,20,5.0,2025-06-14,0,2025-06
Elektronik,EP Elektronik,Kab. Lamongan,Box Spiker Miniatur CLA Double 3inch || Design mulus siap pakai,51000,1,5.0,2025-05-16,0,2025-05
Elektronik,EP Elektronik,Kab. Lamongan,Box Spiker Miniatur Miniscoop 3inch Siap Pakai || Kualitas Premium,55250,2,5.0,2025-05-27,0,2025-05
Elektronik,future store,Tangerang,WEILAI  TE-1803 ELECTRIC SCREWDRIVER  OBENG LISTRIK ORIGINAL - OBENG LISTRIK SET 44IN1 - OBENG TEKNISI / BONGKAR ELEKTRONIK - OBENG SERVICE ELEKTRIK HANDPHONE LAPTOP,271950,27,4.5,2025-05-07,0,2025-05
Elektronik,ROBOT Audio Indonesia,Kab. Tangerang,"[Exclusive Launch] ROBOT RB190 Speaker Bluetooth 5.4 Portable Powerfull Bass 5W Tahan Air IPX5 dengan Efek Lampu RGB dan 3 Mode Pemutaran (Bluetooth, TF Card, & Aux), Pemutaran 8 Jam - Bergaransi Resmi 1 Tahun",129000,100,4.7,2025-04-29,0,2025-04
Elektronik,EP Elektronik,Kab. Lamongan,Box Spiker Miniatur Miniscoop 3inch kualitas Premium,50150,3,5.0,2025-06-10,0,2025-06
Elektronik,LifestyleHub Shop,Kab. Tangerang,"GM Bear Vacuum Cleaner 2034 – Penyedot Debu Tanpa Kabel, 5 in 1, Hisap Super Kuat 20000Pa",139900,40,3.8,2025-05-15,0,2025-05
