,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Terlaris
16427,Perlengkapan Pesta,Kreain NatureOfficial Shop.id8,Kab. Tangerang,"Kreain  Nature Pasta Gigi Yang Bersih Dan Menenangkan, Perawatan Lembut, Segar Dan Tahan Lama",230000,6000,4.7,1
16428,Perlengkapan Pesta,Chamelleon Apt,Kab. Gresik,FLASH SALE AWAL BULAN - XINCAN Spray Original - Perlindungan Anti Bacterial untuk Pria - Food Grade - Coolling Perawatan Tubuh Pria,37800,1000,4.7,1
16429,Perlengkapan Pesta,TUKUO - ID,Jakarta Selatan,TUKUO ID - ARTIFICIAL 3 CABANG BUNGA PREMIUM ARTIFICIAL FLOWER BUNGA BERKUALITAS HOME DECORATION WEDDING DECORATION TANAMAN HIAS UNGU MUDA,7600,0,0,0
16430,Perlengkapan Pesta,OralCyberX.ID.3,Kab. Tangerang,"OralCyberX Pasta Gigi Tabung Ganda, Teknologi Perlindungan & Pemutihan Gigi Secara Menyeluruh",69000,250,4.5,0
16431,Perlengkapan Pesta,SkyKids99,Jakarta Barat,Baju Tidur Anak Gambar Cappuccina Ballerina Setelan Lengan Panjang 1-10 Tahun - Baju Anak Fashion Celana,30780,10000,4.7,1
16432,Perlengkapan Pesta,J.LDtool,Jakarta Barat,JLD Spirit Level Waterpass Magnet Aluminium Akurat Perkakas 300mm/400mm/500mm Bubble Level Square Spirit Level Botol leveling dilengkapi,30000,100,4.9,0
16433,Perlengkapan Pesta,Swift Lifestyle,Bekasi,Panlandwoo - Kalung Stainless Wanita Lolanthe Adjustable,148400,0,0,0
16434,Perlengkapan Pesta,Charming.Cloth,Jakarta Barat,New ! 188 Kaos wanita  Lengan 7/8 | Atasan Wanita kekinian,46800,3000,4.9,1
16435,Perlengkapan Pesta,Mieia,Kab. Bogor,Mieia Panci Presto Alumunium Serbaguna anti lengket Pressure cooker High Quality 3L 4L 5L 7L 9L 11L,153493,2000,5,1
16436,Perlengkapan Pesta,RTSDVSN,Kab. Tulungagung,T-SHIRT RTSDVSN 342 | LENGAN PENDEK MOTIF SCREW PLATE,125000,250,4.8,0
16437,Perlengkapan Pesta,Kreain Nature Official Shop,Kab. Tangerang,Kreain Nature Nail Care Essence Esens Perawatan Kuku  Ekstrak Tea Tree dan Jahe untuk Perawatan 7 Hari,158000,1000,4.2,1
16438,Perlengkapan Pesta,POP FUNY,Kab. Tangerang,"【POP FUNY】Pita Kedap Air Butil – Bahan Perbaikan Bocor yang Dapat Ditempelkan Sendiri, Cocok untuk Retakan Atap, Dinding Luar, dan Keramik, Perbaikan Cepat untuk Kebocoran",33000,4000,4.8,1
16439,Perlengkapan Pesta,Msglow beauty indonesia_NEW,Surabaya,MS GLOW  PAKET WAJAH LENGKAP TERBARU ISI 5,215000,3000,4.9,1
16440,Perlengkapan Pesta,Senyumly,Kab. Tangerang,Mehaa Spatula Silikon Set 12 pcs Anti Lengket - Kitchenware,93060,250,4.5,0
16441,Perlengkapan Pesta,Swift Lifestyle,Bekasi,Panlandwoo - Cincin Titanium Wanita Anastasia - Perhiasan Elegan Simple Mewah Rings,80000,0,0,0
16442,Perlengkapan Pesta,FAV Beauty,Jakarta Utara,Masker Peel Off FAV Beauty | Yogurt Peel Off Mask Perawatan Jerawat Mencerahkan Mengencangkan Melembabkan Kulit Wajah BPOM,42600,10000,4.9,1
16443,Perlengkapan Pesta,Swift Lifestyle,Bekasi,Panlandwoo - Cincin Titanium Wanita Demi - Perhiasan Fashion Elegan Mewah Simple,81200,0,0,0
16444,Perlengkapan Pesta,Nurmala Fitri,Surabaya,(PROMO) Nail repair serum perawatan kuku jamur rusak dan cantengan kaki tangan,30400,750,4.6,0
16445,Perlengkapan Pesta,Maxiautocare.ID,Tangerang,"1 COD/LIVE -BARU!- AMPUH PEMBERSIH HELM PEMBERSIH SERBAGUNA PENGKILAP BODI WAX POLISH tanpa air Helmet cleeaner motor Serbaguna awet kinclong efek perlindungan untuk warna helm anti pudar, Pembersih Kaca Helm, Pembersih Furniture rumah tangga",39000,4000,4.9,1
16446,Perlengkapan Pesta,RTSDVSN,Kab. Tulungagung,T-SHIRT RTSDVSN 348 | LENGAN PENDEK MOTIF DECALS,125000,100,4.9,0
16447,Perlengkapan Pesta,SG lampu.ID,Tangerang,Lampu Kepala Mini 3 Mode LED Terang Kabel USB Mikro Gratis Desain Tahan Air Lampu Berkemah Lampu Darurat Cahaya Putih 1000mAh Dilengkapi Fungsi Sensor Manual Senter,46899,2000,4.9,1
16448,Perlengkapan Pesta,Lash Boss,Tangerang Selatan,[NEW SIZE] LashBoss Rosemary Hair Growth Oil UPSIZE 100ml - Minyak Penumbuh Rambut Rosemary Oil Hair Care Membantu Perawatan Rambut Rontok Minyak Rambut Hair Serum Hair Oil,215000,2000,4.9,1
16449,Perlengkapan Pesta,COTTEND_NEW,Kab. Sumedang,COTTEND Oversized Striped Pattern Baju Kaos Atasan Wanita Lengan 7/8 Style Garis Bahan Katun Combed Tebal Nyaman Dipakai,84999,10000,4.9,1
16450,Perlengkapan Pesta,Cantiqu.id,Surakarta,Mireya Blouse Atasan Kerut Dada Rayon Twill Lengan Panjang Wanita,72500,7000,4.8,1
16451,Perlengkapan Pesta,MeiJing Nails,Jakarta Barat,Kuku Palsu Nail Art Dan Lem Jely Fake Nails Wisuda Aesthetic Lengkap Nikahan COD A3276 Love Ice Crystal Powder,12615,100,4.8,0
16452,Perlengkapan Pesta,rohmah@,Kab. Banyumas,Paket Isi 6 Deodorant Naturals 60ML - A ntiperspirant Tawas Menghilangkan Bau Ketiak 48jam  Memutihkan ketiak,28799,2000,4.8,1
16453,Perlengkapan Pesta,MISS YON,Denpasar,"YONI SKIN CARE - BUNDLE ISI 2 LIP BALM SWEET JELLY TINTED ""perawatan wajah"" | A 17",110012,1000,4.9,1
16454,Perlengkapan Pesta,Cocofashion,Kab. Klaten,Atasan Wanita Kaos Pita Samping Bella Lengan 7/8 Top Korean Modis Girl Style Cotton Combed Premium Size M L XL Basic Casual Trend Outfit,49999,5000,4.7,1
